cat_num,age_y,sex,f_mxl,f_db,f_msb
977,6.13,F,269.06,58.46,20.31
218,5.89,F,269.07,55.3,17.89
790,6.44,F,269.22,60.02,17.64
205,9.82,M,269.54,57.76,16.99
1033,4.56,M,269.79,57.33,17.78
191,6.24,F,269.87,57.96,16.15
227,5.33,F,269.88,54.27,16.08
1025,7.18,F,270.17,56.06,17.77
882,5.93,M,270.38,61.59,18.02
356,6.50,F,270.39,56.75,18.11
347,7.62,M,270.5,60.49,19.68
867,7.85,M,270.68,58.75,18.15
75,6.67,F,271.24,58.27,20.43
1358,7.57,M,271.48,56.71,16.52
896,7.26,F,271.6,53.01,15.41
1070,4.58,F,271.76,66.43,20.76
539,7.36,M,271.83,57.04,19.09
736,6.79,F,271.84,62.68,18.57
1339,6.56,F,271.88,58.39,18.9
1101,7.21,F,272.01,58.2,18.27
413,5.47,M,272.11,59.83,18.56
649,5.81,M,272.87,58.64,15.66
553,6.46,F,273.12,51.99,17.75
515,6.20,M,273.36,66.15,18.81
1346,7.88,M,273.49,64.67,18.03
1041,4.93,M,273.64,62.6,18.35
1109,7.96,F,274.14,58.83,18.45
411,6.27,F,274.36,58.98,19.44
1084,9.54,F,274.97,62.16,20.24
351,7.41,F,275.32,60.28,18.79
226,5.60,M,275.56,66.86,19.54
991,7.00,M,275.75,63.02,19.21
9,7.95,F,276.04,58.58,17.81
1117,5.00,M,276.2,58.33,19.37
754,5.37,F,276.22,55.48,17.58
426,6.88,F,276.28,55.79,16.62
289,7.11,F,276.3,56.7,17.35
469,7.10,M,276.37,58.92,18.4
574,6.48,F,276.93,60.79,18.42
147,6.31,F,277.35,61.42,18.84
1066,6.72,M,277.52,60.77,18.75
949,6.88,M,277.9,61.57,18.42
644,6.75,M,278.03,60.13,20.45
1354,7.64,F,278.42,50.66,14.94
221,6.52,M,278.65,63.5,18.7
781,6.80,M,278.69,58.68,18.93
1099,7.37,F,278.71,59.1,16.53
251,6.39,M,278.73,63.75,19.38
1276,7.00,M,279.11,61.95,18.64
771,6.72,M,279.2,62.12,19
111,6.70,M,279.42,60.98,17.6
335,7.52,M,279.61,58.55,17.3
756,8.53,M,279.81,58.72,18.7
874,7.27,M,279.84,61.63,18.14
1083,8.32,F,279.86,54.04,17.57
569,5.94,F,279.91,57.02,17.49
313,7.56,M,279.98,56.44,17.39
153,6.16,M,280.26,63.64,18.03
240,7.98,F,280.26,56.38,18.76
964,7.22,M,280.27,61.1,17.79
633,7.48,F,280.31,60.54,18.33
660,7.81,M,280.34,62.68,17.47
489,7.59,F,280.45,62.72,19.23
879,7.15,M,281.37,61.72,17
898,6.14,M,281.42,61.47,19.1
714,7.43,M,282.55,68.49,18.87
703,7.40,M,282.66,62.13,19.4
994,7.12,F,283.1,55.41,16.73
352,8.11,M,283.31,75.82,22.99
1116,7.00,M,283.45,57.45,17.42
659,8.01,M,283.48,65.7,20.06
259,8.92,M,283.81,62.06,17.84
1081,6.55,F,283.96,60.65,21.2
409,6.43,M,284.16,62.17,17.26
878,6.48,F,284.27,57.83,18.09
752,10.70,M,284.6,61.25,18.04
439,7.04,F,285.35,60.48,17.89
320,6.92,M,285.42,60.13,19.21
651,7.29,M,285.82,65.59,18.27
900,8.66,M,285.86,62.43,20.79
41,6.93,F,286.15,58.01,20.31
855,7.04,M,286.57,62.35,17.79
927,9.11,F,286.91,58.11,17.91
570,7.21,M,286.97,61.42,17.29
989,7.37,M,287.28,62.69,20.27
68,6.00,M,287.42,65.98,18.49
945,7.46,F,287.65,57.45,18.05
705,7.18,F,287.7,58.98,19.37
1382,7.12,F,287.97,63.07,21.26
382,7.77,M,288.18,63.04,18.42
1367,7.76,M,288.84,64.6,19.86
920,8.53,M,289.01,64.55,20.12
69,8.35,M,289.29,62.94,18.42
999,7.48,F,289.37,58,18.09
232,8.05,M,289.46,62.13,19.64
341,9.54,M,289.69,62.42,19.45
688,6.88,M,289.82,67.31,20.79
568,8.16,M,289.91,64.13,20.15
11,8.25,M,289.98,66.55,21.19
32,8.64,F,290.12,60.09,20.82
1059,7.95,M,290.21,64.95,19.79
834,6.29,F,290.22,66.1,20.16
1106,5.68,M,290.56,62.33,18.42
